	Series1_NHBE_SARS-CoV-2_1	Series1_NHBE_SARS-CoV-2_2	Series1_NHBE_SARS-CoV-2_3
DIABLO	500	439	1227
VPS33A	217	259	760
CLIP1	2424	2566	7615
ZCCHC8	204	202	562
RSRC2	1628	1860	5553
KNTC1	111	130	301
HCAR2	454	414	1115
HCAR3	460	446	1084
HCAR1	7	12	8
DENR	950	886	2686
CCDC62	6	13	32
HIP1R	496	353	932
VPS37B	831	703	2386
ABCB9	51	39	121
OGFOD2	75	79	164
ARL6IP4	1044	820	2594
PITPNM2	187	176	446
MIR4304	0	0	0
MPHOSPH9	87	106	258
C12orf65	127	117	365
CDK2AP1	754	730	2256
SBNO1	973	1130	2791
RILPL2	151	130	471
SNRNP35	275	303	923
RILPL1	262	221	769
MIR3908	0	0	0
TMED2	2628	2739	7900
DDX55	361	394	1069
EIF2B1	555	665	1843
GTF2H3	270	294	852
TCTN2	67	65	239
ATP6V0A2	186	175	604
DNAH10	3	1	5
CCDC92	349	343	1080
ZNF664	1202	1325	3672
NCOR2	1278	797	2666
SCARB1	945	764	2488
UBC	11666	11216	34008
MIR5188	3	7	15
DHX37	280	208	557
BRI3BP	107	145	341
AACS	457	490	1424
TMEM132B	4	0	12
LINC00507	0	0	0
TMEM132C	0	0	0
MIR3612	0	0	0
SLC15A4	196	206	572
GLT1D1	0	0	0
TMEM132D	1	0	0
FZD10	23	12	54
PIWIL1	4	2	12
RIMBP2	0	0	2
STX2	207	222	758
RAN	3209	3607	11205
SFSWAP	564	488	1385
MMP17	37	8	53
ULK1	600	328	1081
PUS1	210	119	397
EP400	811	755	2272
SNORA49	0	0	2
DDX51	180	167	464
NOC4L	127	76	278
GALNT9	0	0	0
LOC100130238	0	1	9
FBRSL1	205	138	364
LRCOL1	0	0	0
P2RX2	0	0	0
POLE	227	236	586
PXMP2	39	34	79
PGAM5	457	353	1308
ANKLE2	1306	1299	3656
GOLGA3	1244	1109	3374
CHFR	393	313	961
ZNF605	175	183	466
ZNF26	4	2	13
ZNF84	30	22	106
ZNF140	75	85	200
ZNF10	54	41	188
ZNF268	155	197	459
ANHX	0	0	0
ANKRD20A9P	0	0	0
LINC00442	0	0	0
TUBA3C	0	0	0
ANKRD26P3	0	0	0
LINC00421	0	0	0
TPTE2	2	0	0
MPHOSPH8	866	908	2524
PSPC1	638	685	2234
ZMYM5	139	120	349
ZMYM2	1132	1151	3056
GJA3	1	3	4
GJB2	2136	2169	6133
GJB6	51	53	110
CRYL1	105	82	282
MIR4499	0	0	0
IFT88	73	73	182
IL17D	1	1	4
XPO4	258	243	815
LATS2	302	211	743
SAP18	1470	1449	4670
SKA3	55	49	165
MIPEPP3	9	10	39
ZDHHC20	480	507	1288
FGF9	0	0	0
LINC00424	0	0	0
BASP1P1	0	0	0
SGCG	0	0	0
SACS	438	434	1406
LINC00327	0	0	3
TNFRSF19	10	8	28
MIPEP	156	172	474
C1QTNF9B	1	0	0
ANKRD20A19P	0	0	0
SPATA13	20	17	84
MIR2276	0	0	0
SPATA13-AS1	0	0	0
C1QTNF9	0	0	0
PARP4	1205	1331	3749
TPTE2P6	0	1	1
ATP12A	25	30	134
RNF17	2	1	10
CENPJ	120	169	382
TPTE2P1	3	3	11
PABPC3	9	5	5
AMER2	0	0	0
MTMR6	222	242	618
ATP8A2	16	17	29
SHISA2	0	1	1
RNF6	1516	1828	5235
CDK8	318	361	910
WASF3	78	93	288
GPR12	0	0	0
USP12	343	368	944
RPL21	0	0	0
RPL21P28	0	0	0
SNORD102	0	0	2
SNORA27	2	8	13
RASL11A	2	3	11
GTF3A	418	466	1401
MTIF3	311	299	918
LNX2	611	709	1744
POLR1D	1446	1671	4759
GSX1	0	0	0
PDX1	0	0	0
CDX2	0	0	1
FLT3	0	0	0
PAN3-AS1	4	7	24
PAN3	191	179	485
FLT1	0	0	0
POMP	618	658	1648
SLC46A3	70	63	161
MTUS2	0	0	0
MTUS2-AS1	0	0	0
SLC7A1	1223	1104	3490
UBL3	140	127	342
LINC00297	0	0	0
LINC00544	0	0	0
KATNAL1	286	294	783
LINC00426	0	0	0
HMGB1	1270	1537	4505
USPL1	199	189	667
ALOX5AP	11	17	27
LINC00398	0	0	0
TEX26-AS1	0	0	0
MEDAG	0	0	0
TEX26	0	0	0
HSPH1	892	973	2746
RXFP2	0	0	0
EEF1DP3	0	0	0
FRY	8	2	23
ZAR1L	0	0	0
BRCA2	38	39	96
N4BP2L1	13	13	20
N4BP2L2	400	497	1360
MINOS1P1	1	1	2
N4BP2L2-IT2	11	14	44
PDS5B	409	392	1097
LINC00423	0	0	0
KL	0	0	0
STARD13	227	223	586
STARD13-AS	0	0	0
RFC3	34	34	107
LINC00457	0	0	0
NBEA	27	30	61
MAB21L1	5	13	17
MIR548F5	0	0	0
DCLK1	2	3	0
SOHLH2	0	0	0
CCDC169-SOHLH2	0	0	0
CCDC169	0	1	0
CCNA1	18	22	53
SERTM1	0	0	0
RFXAP	15	11	35
SMAD9	3	7	16
ALG5	200	220	610
EXOSC8	107	105	327
SUPT20H	748	745	2145
CSNK1A1L	0	0	0
LINC00547	0	0	0
POSTN	170	182	320
TRPC4	0	0	0
LINC00571	6	6	17
UFM1	1733	2034	5467
LINC00366	0	0	0
FREM2	0	1	8
STOML3	0	0	0
PROSER1	756	861	2220
NHLRC3	179	215	537
COG6	253	210	671
MIR4305	0	0	0
LINC00332	0	0	0
LINC00548	0	0	3
LINC00598	0	3	9
FOXO1	207	222	578
MIR320D1	0	0	0
MRPS31	214	292	883
SLC25A15	82	53	180
TPTE2P5	1	6	6
MIR621	0	0	0
SUGT1P3	0	0	5
ELF1	1255	1379	3986
WBP4	339	330	950
KBTBD6	160	154	403
KBTBD7	53	60	191
MTRF1	72	97	233
NAA16	55	67	221
OR7E37P	0	0	0
RGCC	19	21	48
VWA8	672	689	1997
MIR5006	1	0	0
VWA8-AS1	4	1	14
DGKH	135	123	390
AKAP11	586	532	1634
TNFSF11	3	4	21
FAM216B	0	0	0
EPSTI1	93	106	271
DNAJC15	286	314	896
ENOX1	6	3	9
CCDC122	39	29	100
LACC1	420	532	1176
LINC00284	2	1	0
SMIM2-IT1	0	0	0
SERP2	3	3	6
TSC22D1	938	1026	2866
TSC22D1-AS1	4	1	8
LINC00330	0	0	1
NUFIP1	89	100	251
GTF2F2	563	525	1618
KCTD4	1	2	0
TPT1	35526	35812	97440
SNORA31	13	6	10
TPT1-AS1	60	72	206
SLC25A30	235	257	704
COG3	357	371	1002
SPERT	0	0	0
SIAH3	0	1	1
ZC3H13	2139	2460	7193
CPB2-AS1	0	2	3
CPB2	0	0	0
LCP1	73	82	271
LINC00563	0	0	0
LRCH1	229	273	825
ESD	706	714	2059
HTR2A	0	0	0
SUCLA2	334	322	1025
NUDT15	151	158	524
MED4	569	745	2237
MED4-AS1	5	5	13
ITM2B	1365	1216	3204
RB1	412	424	1322
LPAR6	99	94	254
RCBTB2	46	59	159
LINC00462	0	0	0
CYSLTR2	0	0	0
FNDC3A	393	388	1092
MLNR	0	0	0
CDADC1	68	77	232
CAB39L	116	148	449
SETDB2	97	110	291
PHF11	147	162	440
RCBTB1	239	270	800
ARL11	1	3	18
EBPL	134	155	428
KPNA3	433	482	1346
CTAGE10P	0	0	0
SPRYD7	273	230	778
DLEU2	5	2	23
MIR3613	0	0	0
TRIM13	155	158	432
KCNRG	1	0	0
MIR16-1	0	0	0
MIR15A	0	0	0
DLEU1	37	37	88
ST13P4	0	2	2
DLEU7	0	0	0
DLEU7-AS1	2	2	0
RNASEH2B-AS1	0	0	0
RNASEH2B	63	50	147
GUCY1B2	0	0	0
FAM124A	1	0	2
SERPINE3	0	0	1
MIR5693	0	0	0
INTS6	815	967	2449
MIR4703	0	0	0
WDFY2	230	219	730
DHRS12	41	32	101
CCDC70	0	0	0
ATP7B	229	197	579
ALG11	46	50	106
UTP14C	286	324	966
NEK5	1	6	2
NEK3	116	129	292
MRPS31P5	39	35	126
THSD1	416	424	1193
VPS36	576	633	1841
CKAP2	763	850	2264
TPTE2P3	0	0	0
HNRNPA1L2	68	95	247
SUGT1	257	240	782
MIR759	0	0	0
PCDH8	0	0	0
OLFM4	0	0	0
LINC00558	0	0	0
MIR1297	0	0	0
MIR5007	0	0	0
PRR20A	0	0	0
PRR20C	0	0	0
PRR20E	0	0	0
PRR20D	0	0	0
PRR20B	0	0	0
PCDH17	0	2	2
DIAPH3	130	125	361
DIAPH3-AS1	1	0	0
DIAPH3-AS2	0	0	0
TDRD3	226	212	679
MIR3169	0	0	0
PCDH20	1	0	2
OR7E156P	0	0	0
PCDH9	4	12	10
PCDH9-AS2	0	0	0
PCDH9-AS3	0	0	0
LINC00550	0	0	0
KLHL1	0	0	0
ATXN8OS	0	0	0
LINC00348	0	0	0
DACH1	0	0	0
MZT1	25	20	79
BORA	70	76	149
DIS3	667	672	1705
PIBF1	77	80	245
KLF5	2315	2270	6425
KLF12	131	142	403
LINC00381	0	0	0
LINC00347	0	0	0
CTAGE11P	1	2	2
TBC1D4	186	157	518
COMMD6	249	258	706
UCHL3	283	323	888
LMO7	2122	2123	6522
KCTD12	938	852	2526
BTF3P11	0	0	0
CLN5	392	416	1131
FBXL3	155	160	467
MYCBP2	932	1004	2761
MYCBP2-AS1	4	4	6
SCEL	2672	2649	9417
SLAIN1	2	1	8
MIR3665	0	0	0
EDNRB	0	0	0
LINC00446	0	0	0
POU4F1	0	0	0
RNF219	145	159	479
LINC00331	0	0	0
RBM26	799	804	2402
RBM26-AS1	16	21	86
NDFIP2-AS1	0	0	0
NDFIP2	509	528	1432
SPRY2	90	71	238
SLITRK1	0	0	0
LINC00333	0	0	0
LINC00351	0	0	0
SLITRK6	441	428	1171
MIR4500HG	0	0	0
MIR4500	0	0	0
SLITRK5	4	3	15
LINC00433	0	0	0
LINC00353	1	0	0
LINC00559	0	0	0
MIR622	0	0	0
LINC00410	0	0	0
LINC00379	0	0	0
MIR17HG	10	13	13
MIR17	0	0	0
MIR18A	0	0	0
MIR19A	0	0	0
MIR20A	0	0	0
MIR19B1	0	0	0
MIR92A1	0	0	0
GPC5	1	0	0
GPC5-AS1	0	0	0
GPC6	13	19	57
GPC6-AS2	0	0	0
DCT	0	0	0
TGDS	53	72	208
GPR180	216	207	572
SOX21	12	3	40
ABCC4	98	99	306
CLDN10	3	4	5
CLDN10-AS1	0	0	0
DZIP1	104	97	294
DNAJC3	919	988	2516
UGGT2	154	140	443
HS6ST3	0	2	7
LINC00359	0	0	0
OXGR1	0	0	0
MBNL2	425	377	840
RAP2A	230	273	710
IPO5	1244	1296	3964
FARP1	483	485	1475
RNF113B	0	0	0
MIR3170	0	0	0
STK24	1701	1655	5112
SLC15A1	1	4	2
DOCK9	1374	1317	3915
UBAC2-AS1	5	2	7
UBAC2	598	543	1641
MIR548AN	0	0	0
GPR18	0	0	0
GPR183	0	0	0
FKSG29	0	0	0
MIR623	0	0	0
TM9SF2	1742	2014	5410
CLYBL	28	23	99
MIR4306	0	0	0
ZIC5	0	0	0
ZIC2	0	0	0
PCCA	152	179	527
PCCA-AS1	0	0	0
GGACT	20	20	92
TMTC4	73	57	167
NALCN-AS1	0	1	0
NALCN	21	13	67
ITGBL1	41	51	121
FGF14	0	0	0
MIR2681	0	0	0
MIR4705	0	0	0
FGF14-IT1	0	0	0
FGF14-AS2	2	1	1
TPP2	390	485	1299
METTL21C	0	0	0
CCDC168	2	2	14
TEX30	40	40	144
KDELC1	75	85	251
BIVM	32	46	118
BIVM-ERCC5	0	0	0
ERCC5	21	25	42
METTL21EP	2	3	6
SLC10A2	0	1	0
MIR548AS	0	0	0
DAOA-AS1	0	0	0
DAOA	1	0	0
LINC00343	0	0	0
LINC00460	2	5	10
EFNB2	1104	1207	3346
ARGLU1	730	823	2215
LINC00551	1	0	0
LINC00443	0	0	0
FAM155A	0	0	1
LIG4	322	354	983
ABHD13	94	87	216
TNFSF13B	5	1	4
MYO16	6	2	4
MYO16-AS1	1	2	2
IRS2	52	57	159
COL4A1	980	999	2810
COL4A2	1600	1151	3521
COL4A2-AS1	0	0	1
RAB20	59	32	101
CARS2	638	571	1619
ING1	197	219	562
LINC00346	2	4	15
ANKRD10	141	153	372
ARHGEF7	714	629	1963
TEX29	1	6	0
SOX1	0	0	0
SPACA7	0	0	0
TUBGCP3	190	262	667
ATP11A	640	568	1597
MCF2L-AS1	0	0	0
MCF2L	0	1	1
F7	0	0	0
F10	0	0	0
PROZ	0	0	0
PCID2	306	278	876
CUL4A	935	994	2689
LAMP1	4009	3466	10044
GRTP1	26	27	56
ADPRHL1	10	9	28
DCUN1D2	82	102	351
TMCO3	1260	1151	3087
TFDP1	784	813	2444
ATP4B	0	0	0
GRK1	0	0	0
LINC00552	0	0	0
TMEM255B	22	12	36
GAS6-AS1	15	14	31
GAS6	1167	769	2426
LINC00565	0	0	0
RASA3	103	123	322
CDC16	552	579	1770
UPF3A	662	743	2130
CHAMP1	285	267	765
OR11H12	0	0	0
POTEG	0	0	0
POTEM	0	0	0
OR11H2	0	0	0
OR4Q3	0	0	0
OR4M1	0	0	0
OR4N2	0	0	0
OR4K2	0	0	0
OR4K5	0	0	0
OR4K1	0	0	0
OR4K15	0	0	0
OR4K14	0	0	0
OR4K13	0	0	0
OR4L1	0	0	0
OR4K17	0	0	0
OR4N5	0	0	0
OR11G2	0	0	0
OR11H6	0	0	0
OR11H4	0	0	0
TTC5	105	74	302
CCNB1IP1	245	287	1007
SNORD126	0	1	0
RPPH1	39	2	4
PARP2	284	345	998
TEP1	461	418	1257
KLHL33	0	0	0
OSGEP	135	124	378
APEX1	1476	1475	4230
PNP	1480	1383	4629
RNASE10	0	0	0
RNASE9	0	0	0
RNASE11	0	0	0
RNASE12	0	0	0
OR6S1	0	0	0
ANG	18	34	49
RNASE4	49	46	127
EDDM3A	0	0	0
EDDM3B	0	0	0
RNASE6	0	0	1
RNASE1	18	24	50
RNASE3	0	0	0
ECRP	0	0	0
RNASE2	0	0	0
METTL17	431	384	1130
SLC39A2	4	4	24
NDRG2	579	549	1540
TPPP2	0	0	0
RNASE13	0	0	0
RNASE7	590	606	1575
RNASE8	0	0	0
ARHGEF40	411	386	1032
ZNF219	267	192	591
TMEM253	27	31	65
OR5AU1	0	0	0
LINC00641	128	115	395
HNRNPC	13967	17515	47464
RPGRIP1	1	0	0
SUPT16H	1817	2203	6109
CHD8	1849	2035	5853
SNORD9	1	0	0
SNORD8	0	1	0
RAB2B	157	183	462
TOX4	1288	1427	3974
METTL3	438	488	1393
SALL2	29	32	74
OR10G3	0	0	0
OR10G2	0	0	0
OR4E2	0	0	0
DAD1	1576	1544	4360
ABHD4	695	595	1766
OXA1L	776	874	2421
SLC7A7	4	3	14
MRPL52	312	318	966
MMP14	14475	12971	34266
LRP10	2266	1745	5317
REM2	4	2	5
RBM23	520	515	1678
PRMT5	1084	1161	3649
HAUS4	187	194	580
MIR4707	0	0	0
AJUBA	1370	1354	3901
C14orf93	65	79	178
PSMB5	1854	1855	5668
PSMB11	0	0	0
CDH24	85	67	186
ACIN1	2766	2915	8244
C14orf119	851	808	2505
CEBPE	0	0	0
SLC7A8	263	230	734
HOMEZ	512	502	1355
PPP1R3E	38	45	90
BCL2L2-PABPN1	0	0	0
BCL2L2	983	1102	2995
PABPN1	171	224	549
SLC22A17	13	16	23
EFS	82	62	207
IL25	0	0	0
CMTM5	0	0	0
MYH6	0	0	0
MIR208A	0	0	0
MYH7	0	0	1
MIR208B	0	0	0
NGDN	276	303	873
THTPA	87	74	236
ZFHX2	94	70	231
AP1G2	1098	968	2852
JPH4	2	1	6
DHRS2	11	7	66
DHRS4-AS1	238	173	530
DHRS4	133	96	333
DHRS4L2	92	103	305
DHRS4L1	0	0	0
CPNE6	0	0	0
NRL	3	1	10
PCK2	164	120	360
DCAF11	516	519	1547
FITM1	0	0	3
PSME1	822	1012	2447
EMC9	55	36	134
PSME2	782	879	2618
RNF31	314	278	892
IRF9	685	714	2078
REC8	206	183	548
IPO4	348	294	1016
TM9SF1	608	567	1669
TSSK4	0	0	2
CHMP4A	1023	1207	3557
NEDD8-MDP1	0	0	0
MDP1	5	0	14
NEDD8	473	503	1598
GMPR2	573	610	1889
TINF2	1039	1116	3457
TGM1	836	667	2373
RABGGTA	466	448	1396
DHRS1	473	453	1376
NOP9	325	274	909
CIDEB	42	38	108
LTB4R2	14	24	56
LTB4R	283	341	882
ADCY4	42	17	47
RIPK3	164	185	504
NFATC4	382	335	1029
NYNRIN	1330	1207	3545
CBLN3	111	135	363
KHNYN	1679	1700	4697
SDR39U1	178	139	491
CMA1	0	0	0
CTSG	0	0	0
GZMH	0	0	0
GZMB	0	0	0
STXBP6	2	2	0
NOVA1	0	2	2
MIR4307	0	0	0
LINC00645	0	0	0
FOXG1	0	0	0
MIR548AI	0	0	0
PRKD1	3	12	45
G2E3	150	171	438
SCFD1	443	436	1222
COCH	0	2	0
LOC100506071	6	3	3
STRN3	574	617	1691
MIR624	0	0	0
AP4S1	48	42	147
HECTD1	1601	1651	4360
HEATR5A	262	247	788
DTD2	102	85	269
GPR33	0	0	0
NUBPL	117	137	481
ARHGAP5-AS1	43	45	117
ARHGAP5	635	639	1801
AKAP6	57	69	167
NPAS3	1	2	0
EGLN3	199	201	506
SPTSSA	139	156	392
EAPP	403	462	1010
SNX6	855	913	2616
CFL2	158	161	450
BAZ1A	2122	2421	6802
IGBP1P1	0	0	0
SRP54	1031	1277	3378
FAM177A1	676	704	1844
PPP2R3C	62	78	178
KIAA0391	546	615	1823
PSMA6	1219	1574	4238
NFKBIA	2421	2140	6090
INSM2	0	0	0
RALGAPA1	209	233	582
BRMS1L	173	230	480
LINC00609	0	0	0
PTCSC3	0	0	0
MBIP	142	179	407
SFTA3	15	13	34
NKX2-1	160	122	399
NKX2-8	7	5	15
PAX9	339	286	890
SLC25A21	2	10	22
MIR4503	0	0	0
MIPOL1	70	73	257
FOXA1	648	609	1748
SSTR1	0	0	0
CLEC14A	0	0	0
LINC00639	0	0	0
SEC23A	781	808	2371
GEMIN2	61	64	161
TRAPPC6B	205	188	540
PNN	2396	2839	8379
MIA2	0	0	0
LOC100288846	0	3	0
FBXO33	103	148	389
LRFN5	0	0	0
FSCB	0	0	0
C14orf28	17	18	49
KLHL28	104	113	299
PRPF39	381	415	1024
SNORD127	0	0	0
FKBP3	778	832	2452
FANCM	41	40	114
MIS18BP1	120	112	375
RPL10L	0	0	0
MDGA2	0	0	0
MIR548Y	0	0	0
LINC00648	0	2	1
RPS29	2587	2663	7595
LRR1	72	42	91
RPL36AL	3202	3506	10379
MGAT2	453	441	1283
DNAAF2	84	50	173
POLE2	18	11	58
KLHDC1	3	1	4
KLHDC2	183	202	501
NEMF	1173	1276	3469
ARF6	1057	1051	3096
SOS2	411	438	1046
L2HGDH	77	98	275
ATP5S	12	14	19
CDKL1	15	18	47
MAP4K5	587	647	1938
ATL1	57	62	189
SAV1	412	434	1284
NIN	620	662	1913
ABHD12B	1	0	0
PYGL	2903	3211	9378
TRIM9	1	0	4
TMX1	427	421	1092
LINC00640	5	5	7
FRMD6-AS2	0	0	0
FRMD6	1308	1483	4246
FRMD6-AS1	0	1	1
GNG2	7	7	33
NID2	12	21	63
PTGDR	0	0	0
PTGER2	1	1	0
TXNDC16	19	7	56
GPR137C	0	0	0
PSMC6	909	993	2872
STYX	108	114	368
GNPNAT1	332	325	943
FERMT2	108	132	303
DDHD1	157	143	467
MIR5580	0	0	0
BMP4	17	23	63
CDKN3	48	73	202
GMFB	159	157	403
CGRRF1	38	34	108
SAMD4A	635	599	1842
GCH1	62	64	171
MIR4308	0	0	0
WDHD1	132	109	366
SOCS4	153	182	479
MAPK1IP1L	1360	1345	4260
LGALS3	1473	1194	3658
DLGAP5	96	117	297
FBXO34	361	420	946
ATG14	221	196	558
TBPL2	0	0	0
KTN1-AS1	7	6	15
KTN1	2418	2545	6673
RPL13AP3	0	0	0
LINC00520	104	137	424
PELI2	11	1	6
OTX2	0	0	0
OTX2-AS1	0	0	0
EXOC5	448	454	1256
AP5M1	171	145	545
NAA30	72	66	186
SLC35F4	0	0	0
ACTR10	495	480	1528
PSMA3	418	470	1379
ARID4A	323	309	866
TOMM20L	0	0	0
TIMM9	113	140	415
KIAA0586	105	91	311
DACT1	1	3	20
DAAM1	1240	1330	3780
GPR135	12	11	36
L3HYPDH	71	65	195
JKAMP	260	190	601
CCDC175	0	0	0
RTN1	0	0	0
LRRC9	1	0	0
DHRS7	1672	1922	5090
PPM1A	390	372	990
C14orf39	4	4	26
SIX6	0	0	0
SIX1	159	193	507
SIX4	122	161	432
MNAT1	375	386	1021
TRMT5	238	232	597
SLC38A6	42	32	101
TMEM30B	305	359	973
PRKCH	317	358	964
FLJ22447	2	3	15
HIF1A	7459	7379	20108
HIF1A-AS2	6	2	14
SNAPC1	358	361	1011
SYT16	5	3	15
LINC00643	1	0	5
KCNH5	0	0	0
RHOJ	0	1	0
GPHB5	0	0	0
PPP2R5E	443	455	1242
WDR89	136	118	349
SGPP1	59	52	205
SYNE2	1042	1018	3065
ESR2	1	2	6
TEX21P	0	1	0
MTHFD1	914	970	2767
AKAP5	4	0	0
ZBTB25	58	59	143
ZBTB1	402	433	1409
HSPA2	99	66	225
PPP1R36	3	8	14
PLEKHG3	1369	1106	3684
SPTB	7	5	19
CHURC1-FNTB	0	0	0
CHURC1	571	606	1725
GPX2	1752	1503	4858
RAB15	100	107	258
FNTB	15	14	46
MAX	834	883	2822
MIR4706	0	0	0
LOC100506321	17	20	67
MIR4708	0	0	0
FUT8	166	184	555
FUT8-AS1	4	0	6
GPHN	136	149	459
FAM71D	0	0	0
MPP5	602	640	1784
ATP6V1D	799	830	2288
EIF2S1	1300	1566	4745
PLEK2	1054	900	2993
TMEM229B	83	66	209
PLEKHH1	104	113	307
PIGH	35	37	91
ARG2	114	129	413
VTI1B	1274	1532	4309
RDH11	2193	2339	6425
RDH12	1	1	5
ZFYVE26	504	500	1719
RAD51B	49	70	140
ZFP36L1	14385	13339	38785
ACTN1	9825	8660	24428
ACTN1-AS1	0	0	1
DCAF5	2074	2099	5672
EXD2	503	510	1390
GALNT16	2	0	0
ERH	374	426	1429
SLC39A9	661	663	1910
PLEKHD1	1	1	1
CCDC177	1	0	0
LOC100289511	18	20	77
SRSF5	2858	3355	8818
SLC10A1	1	1	0
SMOC1	190	185	487
SLC8A3	1	0	4
ADAM21P1	2	2	7
SYNJ2BP-COX16	0	0	0
COX16	15	12	78
SYNJ2BP	570	583	1728
ADAM21	18	16	61
ADAM20P1	3	11	20
ADAM20	0	4	0
MED6	192	233	560
TTC9	1139	1133	3488
MAP3K9	463	483	1473
SNORD56B	0	0	0
LOC145474	0	0	0
SIPA1L1	1763	1921	5783
RGS6	0	0	0
DPF3	1	4	7
DCAF4	177	164	437
ZFYVE1	337	346	1052
RBM25	2646	3395	9198
PSEN1	1321	1395	3702
PAPLN	247	236	567
NUMB	1924	1920	5970
HEATR4	1	2	0
ACOT1	9	8	29
ACOT2	67	49	174
ACOT4	2	4	5
ACOT6	0	0	0
DNAL1	53	76	216
PNMA1	717	808	2133
ELMSAN1	516	475	1320
MIR4505	0	0	0
PTGR2	92	130	294
ZNF410	213	230	670
FAM161B	68	66	180
COQ6	126	135	340
ENTPD5	186	237	643
ALDH6A1	95	73	234
LIN52	40	43	106
VSX2	0	0	0
ABCD4	215	190	557
VRTN	0	0	0
SYNDIG1L	0	0	1
NPC2	1268	1321	3678
MIR4709	0	0	0
ISCA2	85	81	290
LTBP2	2290	1937	6198
FCF1	627	676	1759
YLPM1	1544	1565	4333
PROX2	1	0	0
DLST	1129	1007	3187
RPS6KL1	21	18	57
PGF	645	468	1648
EIF2B2	606	563	1872
MLH3	93	104	312
ACYP1	35	57	164
ZC2HC1C	11	18	24
NEK9	564	645	1739
TMED10	2498	2614	7426
FOS	965	892	2577
JDP2	192	141	409
BATF	16	10	66
FLVCR2	3	5	16
TTLL5	469	478	1537
TGFB3	26	36	89
IFT43	176	165	492
GPATCH2L	152	171	579
ESRRB	1	0	1
VASH1	7	6	8
ANGEL1	213	208	683
IRF2BPL	103	85	278
ZDHHC22	1	0	0
TMEM63C	154	137	446
NGB	0	0	0
MIR1260A	0	0	0
POMT2	308	313	993
GSTZ1	163	150	416
TMED8	62	33	170
SAMD15	14	17	43
NOXRED1	16	8	16
VIPAS39	358	405	1282
AHSA1	2575	2453	7730
ISM2	2	7	19
SPTLC2	684	781	2387
ALKBH1	94	96	237
SLIRP	419	423	1254
SNW1	1153	1554	4164
C14orf178	2	0	4
ADCK1	57	56	161
NRXN3	6	8	22
DIO2	1	0	4
DIO2-AS1	0	0	0
CEP128	47	72	194
TSHR	0	0	0
GTF2A1	250	254	690
SNORA79	0	0	0
STON2	2174	2240	6903
SEL1L	960	1065	2885
FLRT2	1126	1254	3478
GALC	182	162	497
GPR65	0	0	0
KCNK10	0	1	0
SPATA7	80	78	233
PTPN21	308	312	950
ZC3H14	808	827	2350
EML5	10	7	42
TTC8	274	249	711
FOXN3	352	358	985
FOXN3-AS1	5	4	19
FOXN3-AS2	0	0	0
EFCAB11	87	91	261
TDP1	233	262	777
KCNK13	0	0	0
PSMC1	1908	2365	6539
NRDE2	174	193	540
CALM1	2569	2772	7686
LINC00642	0	0	0
TTC7B	89	74	258
RPS6KA5	45	44	103
SNORA11B	0	0	0
GPR68	147	118	296
CCDC88C	451	409	1133
CATSPERB	13	18	30
TC2N	301	324	889
FBLN5	7	8	16
TRIP11	536	539	1496
ATXN3	241	299	687
NDUFB1	211	209	650
CPSF2	918	910	2464
SLC24A4	6	9	12
RIN3	172	117	514
LGMN	638	531	1689
GOLGA5	1058	1254	3639
CHGA	3	0	1
ITPK1	709	522	1678
ITPK1-AS1	0	0	0
MOAP1	433	493	1489
TMEM251	52	52	142
UBR7	193	224	584
BTBD7	611	721	2058
UNC79	2	1	2
COX8C	0	0	0
PRIMA1	0	0	0
FAM181A-AS1	0	0	0
FAM181A	1	0	2
ASB2	97	69	244
OTUB2	434	470	1452
DDX24	2848	3258	9351
IFI27L1	158	133	402
IFI27	394	350	1471
IFI27L2	396	227	689
PPP4R4	138	172	467
SERPINA10	0	0	0
SERPINA6	0	1	4
SERPINA1	89	83	199
SERPINA11	0	0	0
SERPINA9	0	0	0
SERPINA12	0	0	0
SERPINA4	0	0	0
SERPINA5	1	0	0
SERPINA3	2339	2707	5454
SERPINA13P	0	0	0
GSC	0	0	0
DICER1	666	723	2110
MIR3173	0	0	0
DICER1-AS1	10	9	51
CLMN	370	423	1057
SYNE3	6	3	18
SNHG10	19	13	42
SCARNA13	0	0	0
GLRX5	178	139	504
TCL6	0	0	0
TCL1B	0	0	0
TCL1A	0	0	0
C14orf132	25	24	68
BDKRB2	158	164	428
BDKRB1	20	8	85
ATG2B	300	266	850
GSKIP	95	90	216
AK7	3	9	12
PAPOLA	1916	2075	5881
VRK1	110	134	348
C14orf177	0	0	0
BCL11B	76	80	184
SETD3	662	739	2064
CCNK	1267	1349	3894
CCDC85C	327	271	879
HHIPL1	20	20	42
MIR5698	0	0	0
CYP46A1	1	0	0
EML1	35	52	125
EVL	167	143	491
DEGS2	3	1	22
YY1	703	752	2339
SLC25A29	172	176	420
MIR345	0	0	0
SLC25A47	0	0	0
WARS	1366	1371	4239
WDR25	53	48	162
BEGAIN	1	0	4
LINC00523	0	0	0
DLK1	0	0	0
MIR2392	0	0	0
MEG3	456	410	1374
MIR770	0	0	0
MIR493	0	0	0
MIR337	0	0	0
MIR665	0	0	0
RTL1	0	0	0
MIR431	0	0	0
MIR433	0	0	0
MIR127	0	0	0
MIR432	0	0	0
MIR136	0	0	0
MEG8	0	0	2
SNORD113-1	0	0	0
SNORD113-2	0	0	0
SNORD113-4	0	0	0
